12/01/2018 03:40,,,,
CÛdigo,DescriÁ„o,InÌcio de VigÍncia,Fim de VigÍncia,Mercadorias
73,"PRODUTOS FARMACEUTICOS - DEC 6426/08, ART 2∫, INC II.",08/04/2008,-,4 - REDUCAO                                                     
74,"PRODUTOS FARMACEUTICOS - DEC 6426/08, ART 2∫, INC III.",08/04/2008,-,4 - REDUCAO                                                     
75,"PRODUTOS FARMACEUTICOS - DEC 6426/08, ART 2∫, INC IV.",08/04/2008,-,4 - REDUCAO                                                     
76,"PRODUTOS FARMACEUTICOS - DEC 6426/08, ART 2∫, INC V.",08/04/2008,-,4 - REDUCAO                                                     
77,"PRODUTOS FARMACEUTICOS - DEC 6426/08, ART 2∫, INC VI.",08/04/2008,-,4 - REDUCAO                                                     
78,"PRODUTOS FARMACEUTICOS - DEC 6426/08, ART 2∫, INC VII.",08/04/2008,-,4 - REDUCAO                                                     
79,"PRODUTOS FARMACEUTICOS - DEC 6426/08, ART 2∫, INC VIII.",08/04/2008,-,4 - REDUCAO                                                     
80,"”LEOS COMBS.TIPO BUNKER, CÛDS. 2710.19.21 E 2710.19.22,DESTS.‡ NAVEGAÁ„O D/CAB.E D/APOIO PORT.E MARÌT.-LEI 11774/08 ART.2∫",23/10/2008,-,5 - SUSPENSAO                                                   
81,"PRODUTOS DEFINIDOS PELA LEI 10925/04 - ART 1∫, INC,XI, C/C  LEI 11488/08 - ART 32, C/C DEC 6461/08",26/05/2008,-,4 - REDUCAO                                                     
82,"SORO DE LEITE FLUIDO, CFE DEFINIÁıES DA LEI 10925/04 - ART 1∫, INC XIV, C/C LEI 11488/07 - ART 32, C/C DEC 6461/08",26/05/2008,-,4 - REDUCAO                                                     
83,"LEI 10925/04 - ART. 1∫, INC, XIV, C/C MP 433/08, C/C MP 552/11,INC. XVIII",29/12/2011,-,4 - REDUCAO                                                     
84,"TRIGO, LEI 10925/04 - ART 1∫, INC XV, C/C MP 433/08 E LEI 12096/09",14/01/2011,-,4 - REDUCAO                                                     
85,"PR…-MISTURAS PR”PRIAS P/FABRICAÁ√O DE P√O COMUM E P√O COMUM,LEI 10925/04 - ART 1∫, INC XVI, C/C MP 433/08 E LEI 12096/09",14/01/2011,-,4 - REDUCAO                                                     
86,"ACETONA DESTINADA A PRODUÁ„O DE MONOISOPROPILAMINA (MIPA), CÛDIGO TIPI 2914.11.00,LEI 11727/08 - ART. 25∫, PAR·GRS.1∫ E 2∫",14/07/2008,-,5 - SUSPENSAO                                                   
87,"MATERIAIS,EQUIPAMENTO E DADOS TECNICOS IMPORTADOS P/ENT.BINACIONAL ALCANTARA CYCLONE SPACE - ART. 9 DO DECRETO 5436/2005",03/10/2008,-,3 - ISENCAO                                                     
88,ISENÁ√O PIS/COFINS LEI 11488/2007 ART.38,26/10/2010,-,3 - ISENCAO                                                     
89,REGIME ESPECIAL DE INCENTIVOS PARA O DESENVOLVIMENTO DA INFRA-ESTRUTUTA - REIDI (LEI N∫ 11.488/2007 ART. 3∫),10/09/2009,-,"5 - SUSPENSAO                                                   
"
90,"PRODUTOS COM USO DEFINIDO PELA LEI 10865 ART. 8∫ - PAR 12,INCXVIII,XIX,XX E XXI - LEI 12058/09 ART 28∫ -INC XV,XVI E XVII",14/01/2010,-,4 - REDUCAO                                                     
91,"G¡S NATURAL IMPORTADO DA BOLÕVIA - DECRETO N∫ 681/1992, ART.3∫ - ATO DECLARAT”RIO INTERPRETATIVO N∫ 21/2004",05/01/2011,-,3 - ISENCAO                                                     
92,"REPENEC: ARTS 1∫ A 5∫ LEI 12.249/2010 E ART 18 DEC          7.320/2010, CONFORME IN RFB 1.074/2010 E 1.084/2010",07/01/2011,-,5 - SUSPENSAO                                                   
93,"RECOMPE: LEI 12.249/2010, ART.9∫,III REGULAMENTADA PELO     DECRETO 7.243/2010, ART.5∫,III",02/03/2011,-,5 - SUSPENSAO                                                   
94,"PADIS E PATVD - LEI 11484/07, DECRETOS 6233/2007, 6234/2007 E7600/2011, E IN RFB 853/08 E 852/08",25/06/2012,-,4 - REDUCAO                                                     
95,RECOPA - LEI 12350/2010; DECRETOS 7319/2010 E 7525/2011; IN RFB 1176/2011 E 1237/2012,15/06/2012,-,5 - SUSPENSAO                                                   
96,EVENTOS COPA DO MUNDO / JOGOS OLÕMPICOS E PARALÕMPICOS 2016,08/06/2015,-,3 - ISENCAO                                                     
97,EVENTOS COPA DO MUNDO / JOGOS OLÕMPICOS E PARALÕMPICOS 2016 BENS ADMITIDOS SOB O REGIME DE ADMISS„O TEMPOR·RIA,08/06/2015,-,5 - SUSPENSAO                                                   
98,"OUTRAS ISEN«’ES, REDU«’ES E SUSPENS’ES N√O CAPITULADAS NESTA TABELA",11/01/2013,-,"3 - ISENCAO                                                     
"
