12/01/2018 04:13,,,,
63,"ADMISSAO NA A.L.C. DE CRUZEIRO DO SUL, BRASILEIA E EPITACIOLANDIA- L.8857/94 (ALTERADO P/L. 8981/95,ART.110) - DEC 1357/94",,,
64,"ADMISSAO NA A.L.C. DE BOA VISTA - LEI 8256/91 (ALTERADO PELA LEI 8981/95, ART. 110 - E LEI 11.732/2008-ART. 4º)",,,
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
98,"EXCLUSIVO RECIPIENTES E EMBALAGENS RETORNAVEIS E SIMILARES - ADM. TEMP. OU REIMPORTACAO - IN RFB 747/07, PORT. SECEX 35/06",,,
095,,ADMISSAO EM DAD - SUSPENSAO,22/01/1999,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
59,"ADMISSAO EM DEPOSITO ADUANEIRO DE DISTRIBUICAO - DAD - DL 37/66, ART. 93 (REDACAO DO DL 2472/89) - PORT. MF 69/92",,,
105,,ADMISSAO EM DEA/DAF - SUSPENSAO,05/07/2007,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
58,ADMISSAO EM DEPOSITO ESPECIAL - DE,,,
76,DEPOSITO AFIANCADO - IN-SRF 364/2003,,,
98,"EXCLUSIVO RECIPIENTES E EMBALAGENS RETORNAVEIS E SIMILARES - ADM. TEMP. OU REIMPORTACAO - IN RFB 747/07, PORT. SECEX 35/06",,,
121,,ADMISSÃO TEMPORÁRIA - PAGAMENTO PROPORCIONAL,28/01/1999,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
37,"ADMISSãO TEMPORáRIA- PAGAMENTO PROPORCIONAL DE IMPOSTOS LEI 9430/96, ART.79 E DEC. 4543/02, ARTS. 324 A 330.",,,
122,,CONSUMO E ADMISSAO TEMPORARIA - IMUNIDADE,01/06/2009,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
01,"LIVROS, JORNAIS E PERIODICOS - CF/88, ART.150,VI,D - LEI 8032/90, ART.2,II,A - LEI 8402/92, ART 1,IV",,,
02,"PAPEL DEST. A IMPRESSAO D/LIVROS, JORNAIS E PERIODICOS - CF/88,ART.150,VI,D - L. 8032/90,ART.2,II,A - L. 8402/92,ART.1,IV",,,
03,"UNIãO,ESTADOS,DF E MUNICíPIOS;AUTARQUIAS E FUNDS.INSTITUíDAS E MANTIDAS P/PODER PúBLICO - CF,ART.150,INC.VI,""A"" C/C PAR.2º",,,
29,"INSTITUICOES DE ASSISTENCIA SOCIAL - IMUNIDADE DE II PREVISTA NA ALINEA C, INCISO VI DO ART. 150 DA CONSTITUICAO FEDERAL",,,
123,,CONSUMO E ADMISSAO TEMPORARIA - ISENCAO,02/03/2011,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
07,"CIENTISTAS,PESQUISADORES E ENTIDADES LIGADOS A PESQUISA E CREDENCIADOS PELO CNPQ - LEI 8010/90 (MP 191/2004)",,,
08,"INSTITS. CIENTIFICAS E TECNOLOGICAS - COM PROJETO APROVADO PELO CNPQ-LEI 8032/90,ART.2,I,E,PAR.UNICO-LEI 8402/92,ART.1,IV.",,,
05,"PARTES,PECAS E COMPS.DESTNS.REPARO, REVISAO E MANUT.D/AERONA-VES -LEI 8032/90,ART. 2,II,J,PAR.UN. - LEI 8402/92,ART.1,IV",,,
10,"PARTIDOS POLITICOS - LEI 8032/90, ART.2,I,B, PAR.UNICO - LEI 8402/92, ART.1,IV",,,
11,"INSTITUICOES DE EDUCACAO OU DE ASSISTENCIA SOCIAL - LEI 8032/90, ART.2,I,B, PAR. UNICO - LEI 8402/92, ART.1,IV",,,
12,"UNIAO, ESTS., DF, TERRITS., MUNICS.E RESPECS. AUTARQUIAS - LEI 8032/90, ART.2,I,A, PAR.UNICO - LEI 8402/92, ART.1,IV",,,
13,"MISSOES DIPLS.E REPS. CONSULS.D/CARATER PERM.E SEUS RESPECS. INTEGS. -L.8032/90,ART.2,I,C, PAR.UNICO- LEI 8402/92,ART.1,IV",,,
14,"REPRES.D/ORGANS.INTERNS.PERM., DOS QUAIS O BRASIL SEJA MEMBRO - LEI 8032/90, ART.2,I,D, PAR.UNICO - LEI 8402/92, ART.1,IV",,,
16,"DRAWBACK - DL 37/66, ART 78,I (ISENCAO) - DL 37/66, ART. 78,II (SUSPENSAO) - LEI 8402/92, ART. 1,I",,,
18,"OUTROS ACORDOS INTERNACIONAIS (EXCETO GATT, SGPC, ALADI E MERCOSUL) - LEI 8032/90, ART 6",,,
19,MATERIAS-PRIMAS E PRODUTOS INTERMEDIARIOS PARA INDUSTRIALIZACAO D/BENS D/INFORMATICA PARA O TSE - LEIS 9359/96 E 9643/98,,,
80,"INFORMATICA - LEI 7232/84, ART. 13 - DL 2434/88, ART. 1, II (REVOGADOS)",,,
81,"OUTRAS ISENÇÕES, REDUÇÕES E SUSPENSÕES, NÃO SUJEITAS A EXAME DE SIMILARIDADE, NÃO CAPITULADAS NESTA TABELA",,,
82,REGIME DE TRIBUTACAO UNIFICADA (RTU) LEI 11898/2009,,,
83,"INCENTIVO A EXPORTACAO DE PRODUTOS MANUFATURADOS - DL 2324/87 - DL 2434/88, ART. I, II, H (REVOGADOS)",,,
84,"SUDENE - DL 1726/79, ART. II, IV, U (REVOGADO)",,,
124,,CONSUMO E ADMISSAO TEMPORARIA - REDUCAO,25/06/2012,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
30,CONTINGENCIAMENTO - DEC. 1989/96 - PORT/MF 269/96 - DEC. 2091/96 - PORT/MF 16/97 - DECISãO CMC Nº 38/05,,,
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
34,"MONTADORAS E FABRICANTES DE VEICULOS, TRATORES, CARROCERIAS, ETC. - DEC 2072/96 - LEI 9449/97",,,
35,VEICULOS AUTOMOTORES - DEC 2770/98 (REDUZ EM 50% A ALIQUOTA),,,
36,REGRA GERAL DE TRIBUTACAO DA TEC (PARA PRODUTOS DO SETOR AERONAUTICO) - DEC. 2376/97-RES/CAMEX 55/2010-RES/CAMEX 78/2011,,,
81,"OUTRAS ISENÇÕES, REDUÇÕES E SUSPENSÕES, NÃO SUJEITAS A EXAME DE SIMILARIDADE, NÃO CAPITULADAS NESTA TABELA",,,
91,"TELEVISAO E RADIODIFUSAO - DL 2434/88, ART.2, III, ART 3, DL 2479/88, ART 1, ART 3 - LEI 7988/89, ART 4, IV (REVOGADOS)",,,
93,"SUDENE - DL 2433/88, ART 3,II - LEI 7988/89, ART 4,II (REVOGADOS)",,,
94,"SUDAM - DL 2433/88, ART 3,II - LEI 7988/89, ART 4,II (REVOGADOS)",,,
95,"MONTADORAS E FABRICANTES DE VEICULOS, TRATORES, CARROCERIAS, ETC. - MP 1.100/95 - PORT/MICT 322/95 (REVOGADOS)",,,
97,"AUTOPEÇAS P/ PRODUÇÃO DE TRATORES,COLHEITADEIRAS,MÁQ.AGRÍC. E RODV.AUTOPROPULSADAS(38ºPROT.ADIC.AO ACE 14-ART.7º ANEXO).",,,
96,AUTOPEÇAS NÃO PRODUZIDAS - BENS DE CAPITAL OU BENS DE INFORMÁTICA E TELECOMUNICAÇÃO (ART.2º RESOLUÇÃO CAMEX 116/14).,,,
92,AUTOPEÇAS NÃO PRODUZIDAS MERCOSUL P/ PRODUÇÃO (ART.1º RESOL. CAMEX 116/2014 / 38º PROT. ADIC. AO ACE 14 - ART.6º ANEXO).,,,
99,"OUTRAS ISENÇÕES, REDUÇÕES E SUSPENSÕES, SUJEITAS A EXAME DE SIMILARIDADE, NÃO CAPITULADAS NESTA TABELA",,,
125,,CONSUMO E ADMISSAO TEMPORÁRIA - SUSPENSAO,14/06/2012,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
69,"BENS DESTINADOS AO REPETRO NA MODALIDADE TEMPORARIA PREVISTANA ALINEA ""A"" DO INCISO I DO ART.376 DO DECRETO Nº6.759/2009",,,
31,"ADMISSAO TEMPORARIA - DL 37/66, ART. 75(EXCETO RECIPIENTES, EMBALAGENS E OUTROS COM FINALIDADE SEMELHANTE - FL 98)",,,
98,"EXCLUSIVO RECIPIENTES E EMBALAGENS RETORNAVEIS E SIMILARES - ADM. TEMP. OU REIMPORTACAO - IN RFB 747/07, PORT. SECEX 35/06",,,
37,"ADMISSãO TEMPORáRIA- PAGAMENTO PROPORCIONAL DE IMPOSTOS LEI 9430/96, ART.79 E DEC. 4543/02, ARTS. 324 A 330.",,,
85,"REPENEC: ARTS 1º A 5º LEI 12.249/2010 E ART 18 DEC 7.320/2010, CONFORME IN RFB 1.074/2010 E 1.084/2010",,,
