12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
05080000,"Coral e matérias semelhantes, em bruto ou",13/03/2007,-
05090000,Esponjas naturais de origem animal.,13/03/2007,-
05100045,Pâncreas,13/03/2007,-
05100049,Outras,13/03/2007,-
05100090,Outras,13/03/2007,-
05111000,Sêmen de bovino,13/03/2007,-
05119110,Ovas e sêmen de peixes,13/03/2007,-
05119190,Outros,13/03/2007,-
05119910,Cochonilha e insetos semelhantes,13/03/2007,-
05119920,Ovos de bicho-da-seda,13/03/2007,-
05119940,Sêmen animal,13/03/2007,-
05119950,"Crinas e seus desperdícios, mesmo em mantas, com ou sem suporte.",01/01/2008,-
05119960,Esponjas naturais de origem animal,01/01/2008,-
05119990,Outros,13/03/2007,-
06011000,"Bulbos, tubérculos, raízes tuberosas, rebentos e",13/03/2007,-
06012000,"Bulbos, tubérculos, raízes tuberosas, rebentos e",13/03/2007,-
06021000,Estacas não enraizadas e enxertos,13/03/2007,-
06022000,"Árvores, arbustos e silvados, de frutos",13/03/2007,-
06023000,"Rododendros e azaléias, enxertados ou não",13/03/2007,-
06024000,"Roseiras, enxertadas ou não",13/03/2007,-
06029000,Outros,13/03/2007,-
06031000,Frescos,13/03/2007,-
06031100,Rosas,01/01/2008,-
06031200,Cravos,01/01/2008,-
06031300,Orquídeas,01/01/2008,-
06031400,Crisântemos,01/01/2008,-
06031900,Outros,01/01/2008,-
06039000,Outros,13/03/2007,-
06041000,Musgos e liquens,13/03/2007,-
06049100,Frescos,13/03/2007,-
06049900,Outros,13/03/2007,-
07011000,Para semeadura (batata semente*),13/03/2007,-
07019000,Outras,13/03/2007,-
07020000,"Tomates, frescos ou refrigerados.",13/03/2007,-
07031010,Cebolas,13/03/2007,-
07031020,Échalotes,13/03/2007,-
07032000,Alhos,13/03/2007,-
07039000,Alhos-porros e outros produtos hortícolas aliáceos,13/03/2007,-
07041000,Couve-flor e brócolos,13/03/2007,-
07042000,Couve-de-bruxelas,13/03/2007,-
07049000,Outros,13/03/2007,-
07051100,Repolhudas,13/03/2007,-
07051900,Outras,13/03/2007,-
07052100,Witloof (Cichorium intybus var. foliosum),13/03/2007,-
07052900,Outras,13/03/2007,-
07061000,Cenouras e nabos,13/03/2007,-
07069000,Outros,13/03/2007,-
07070000,"Pepinos e pepininhos (""cornichons""), frescos ou",13/03/2007,-
07081000,Ervilhas (Pisum sativum),13/03/2007,-
07082000,"Feijões (Vigna spp., Phaseolus spp.)",13/03/2007,-
07089000,Outros legumes de vagem,13/03/2007,-
07091000,Alcachofras,13/03/2007,-
07092000,Aspargos,13/03/2007,-
07093000,Berinjelas,13/03/2007,-
07094000,"Aipo, exceto aipo-rábano",13/03/2007,-
07095100,Cogumelos do gênero Agaricus,13/03/2007,-
07095200,Trufas,13/03/2007,-
07095900,Outros,13/03/2007,-
07096000,Pimentões e pimentas (pimentos*) dos gêneros,13/03/2007,-
07097000,"Espinafres, espinafres-da-Nova-Zelândia e",13/03/2007,-
07099010,Milho doce,13/03/2007,-
07099020,Alcachofras,01/01/2008,-
07099090,Outros,13/03/2007,-
07101000,Batatas,13/03/2007,-
07102100,Ervilhas (Pisum sativum),13/03/2007,-
07102200,"Feijões (Vigna spp., Phaseolus spp.)",13/03/2007,-
07102900,Outros,13/03/2007,-
07103000,"Espinafres, espinafres-da-Nova-Zelândia e",13/03/2007,-
07104000,Milho doce,13/03/2007,-
07108010,Aspargos,13/03/2007,-
07108020,Beterrabas,13/03/2007,-
07108030,Pimentões e pimentas (pimentos*) dos gêneros,13/03/2007,-
07108090,Outros,13/03/2007,-
07109000,Misturas de produtos hortícolas,13/03/2007,-
07112000,Azeitonas,13/03/2007,-
07113000,Alcaparras,13/03/2007,-
07114000,"Pepinos e pepininhos (""cornichons"")",13/03/2007,-
07115100,Cogumelos do gênero Agaricus,13/03/2007,-
07115900,Outros,13/03/2007,-
07119011,Tomates,13/03/2007,-
07119019,Outros,13/03/2007,-
07119020,Misturas de produtos hortícolas,13/03/2007,-
07122000,Cebolas,13/03/2007,-
07123010,COGUMELOS,21/02/2013,-
07123020,TRUFAS,21/02/2013,-
07123100,Cogumelos do gênero Agaricus,13/03/2007,-
07123200,Orelhas-de-judas (Auricularia spp.),13/03/2007,-
07123300,Tremelas (Tremella spp.),13/03/2007,-
07123900,Outros,13/03/2007,-
07129011,Alhos,13/03/2007,-
07129019,Outros,13/03/2007,-
07129020,Misturas de produtos hortícolas,13/03/2007,-
07131010,Para semeadura,13/03/2007,-
07131090,Outras,13/03/2007,-
07132010,Para semeadura,13/03/2007,-
07132090,Outras,13/03/2007,-
07133110,Para semeadura,13/03/2007,-
07133190,Outras,13/03/2007,-
07133210,Para semeadura,13/03/2007,-
07133290,Outras,13/03/2007,-
07133310,Para semeadura,13/03/2007,-
07133390,Outras,13/03/2007,-
07133910,Para semeadura,13/03/2007,-
07133990,Outras,13/03/2007,-
07134010,Para semeadura,13/03/2007,-
07134090,Outras,13/03/2007,-
07135010,Para semeadura,13/03/2007,-
07135090,Outras,13/03/2007,-
07139010,Para semeadura,13/03/2007,-
07139090,Outras,13/03/2007,-
07141000,Raízes de mandioca,13/03/2007,-
07142000,Batatas-doces,13/03/2007,-
07149000,Outros,13/03/2007,-
08011100,Secos,13/03/2007,-
08011900,Outros,13/03/2007,-
08012100,Com casca,13/03/2007,-
08012200,Sem casca,13/03/2007,-
08013100,Com casca,13/03/2007,-
08013200,Sem casca,13/03/2007,-
08021100,Com casca,13/03/2007,-
08021200,Sem casca,13/03/2007,-
08022100,Com casca,13/03/2007,-
08022200,Sem casca,13/03/2007,-
08023100,Com casca,13/03/2007,-
08023200,Sem casca,13/03/2007,-
08024000,Castanhas (Castanea spp.),13/03/2007,-
08025000,Pistácios,13/03/2007,-
08026000,Nozes de macadâmia,01/01/2008,-
08029000,Outras,13/03/2007,-
08030000,"Bananas, incluídas as pacovas (""plantains""),",13/03/2007,-
08041000,Tâmaras,13/03/2007,-
08042010,Frescos,13/03/2007,-
08042020,Secos,13/03/2007,-
08043000,Abacaxis (ananases),13/03/2007,-
08044000,Abacates,13/03/2007,-
08045010,Goiabas,13/03/2007,-
08045020,Mangas e mangostões,13/03/2007,-
08051000,Laranjas,13/03/2007,-
08052010,"Mandarinas, com exclusão das tangerinas e satsumas",13/03/2007,-
08052020,Tangerinas e satsumas,13/03/2007,-
08052090,Outros,13/03/2007,-
08054000,"Pomelos (""Grapefruit"")",13/03/2007,-
08055010,"Limões (Citrus limon, Citrus limonum)",13/03/2007,-
08055020,"Limas (Citrus aurantifolia, Citrus latifolia)",13/03/2007,-
08059000,Outros,13/03/2007,-
08061000,Frescas,13/03/2007,-
08062010,Passas,13/03/2007,-
08062090,Outras,13/03/2007,-
08071100,Melancias,13/03/2007,-
08071900,Outros,13/03/2007,-
08072000,Mamões (papaias),13/03/2007,-
08081000,Maçãs,13/03/2007,-
08082010,Pêras,13/03/2007,-
08082020,Marmelos,13/03/2007,-
