12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
0402301,"SORO DE LEITE (""LACTOSERUM"")",01/12/1992,-
0403001,"MANTEIGA (MANTEIGA DE LEITE DE VACA, MANTEIG",01/12/1992,-
0403002,"GORDURA DE MANTEIGA DESIDRATADA (""BUTTER-OIL",01/12/1992,-
0403099,AS DEMAIS MANTEIGAS,01/12/1992,-
0404101,"QUEIJO DE MASSA MOLE, TIPO COLONIA",01/12/1992,-
0404199,OS DEMAIS QUEIJOS DE MASSA MOLE,01/12/1992,-
0404201,"QUEIJO DE MASSA SEMIDURA, CHEDDAR (QUEIJO AM",01/12/1992,-
0404299,OS DEMAIS QUEIJOS DE MASSA SEMIDURA,01/12/1992,-
0404301,"QUEIJO DE MASSA DURA, PARMESAO",01/12/1992,-
0404302,"QUEIJO DE MASSA DURA, ROMANO",01/12/1992,-
0404399,OS DEMAIS QUEIJOS DE MASSA DURA,01/12/1992,-
0404401,QUEIJO TIPICO GORGONZOLA,01/12/1992,-
0404402,QUEIJO TIPICO ROQUEFORT OU AZUL,01/12/1992,-
0404499,OS DEMAIS QUEIJOS TIPICOS,01/12/1992,-
0404901,REQUEIJAO,01/12/1992,-
0404999,"OS DEMAIS QUEIJOS (EXCETOS OS DE MASSA MOLE,",01/12/1992,-
0405101,OVOS COM CASCA PARA REPRODUCAO,01/12/1992,-
0405102,OVOS COM CASCA PARA CONSUMO,01/12/1992,-
0405109,OS DEMAIS OVOS COM CASCA,01/12/1992,-
0405199,OS DEMAIS OVOS (SEM CASCA),01/12/1992,-
0405201,GEMAS DE OVOS,01/12/1992,-
0406001,MEL NATURAL,01/12/1992,-
0407001,"PRODUTOS COMESTIVEIS DE ORIGEM ANIMAL, NAO E",01/12/1992,-
0501001,CABELO LAVADO OU DESENGORDURADO,01/12/1992,-
0501002,RESIDUOS DE CABELO HUMANO,01/12/1992,-
0502101,CERDAS DE JAVALI,01/12/1992,-
0502102,CERDAS DE PORCO,01/12/1992,-
0502201,PELOS DE TEXUGO,01/12/1992,-
0502299,OS DEMAIS PELOS,01/12/1992,-
0502301,RESIDUOS DE CERDAS,01/12/1992,-
0502302,RESIDUOS DE PELOS,01/12/1992,-
0503101,CRINAS EM BRUTO (SIMPLESMENTE LAVADAS OU DES,01/12/1992,-
0503102,"CRINAS PREPARADAS (BRANQUEADAS, TINTAS, FRIS",01/12/1992,-
0503201,RESIDUOS DE CRINA,01/12/1992,-
0504101,"ESTOMAGOS (BUCHOS) INTEIROS OU EM PEDACOS, F",01/12/1992,-
0504102,"TRIPAS INTEIRAS OU EM BOCADOS, FRESCAS",01/12/1992,-
0504199,"AS DEMAIS BEXIGAS, INTEIRAS OU EM PEDACOS, F",01/12/1992,-
0504201,"ESTOMAGOS ( BUCHOS ) INTEIROS OU EM PEDACOS,",01/12/1992,-
0504202,"TRIPAS INTEIRAS OU EM PEDACOS, SALGADAS OU S",01/12/1992,-
0504299,"AS DEMAIS BEXIGAS INTEIRAS OU EM PEDACOS, SA",01/12/1992,-
0505001,RESIDUOS DE PEIXE,01/12/1992,-
0507101,"PELES E OUTRAS PARTES DE AVES, REVESTIDAS DE",01/12/1992,-
0507102,"PELES E PARTES DE PENAS (MESMO APARADAS), AS",01/12/1992,-
0507199,AS DEMAIS PELES E OUTRAS PARTES DE AVES  (TA,01/12/1992,-
0507201,"PENAS E PARTES DE PENAS (MESMO APARADAS), AS",01/12/1992,-
0507299,AS DEMAIS PENAS E PARTES DE PENAS (MESMO APA,01/12/1992,-
0507301,PO E RESIDUOS DE PENAS OU DE PARTES DE PENAS,01/12/1992,-
0508001,OSSOS E NUCLEOS CORNEOS,01/12/1992,-
0508002,FARINHA OU PO DE OSSOS,01/12/1992,-
0508099,"OS DEMAIS OSSOS E NUCLEOS CORNEOS (SABUGOS),",01/12/1992,-
0509101,MARFIM,01/12/1992,-
0509102,CARAPACA DE TARTARUGA,01/12/1992,-
0509103,"CHIFRES, PONTAS, CASCOS, UNHAS, GARRAS E BIC",01/12/1992,-
0509104,RESIDUOS E PO,01/12/1992,-
